SCEDTimestamp,RepeatedHourFlag,SettlementPoint,LMP
12/01/2010 01:10:23,N,SANDHSYD_5AC,21.68
12/01/2010 01:10:23,N,SANDHSYD_CC1,21.68
12/01/2010 01:10:23,N,SAN_SANMIGG1,21.71
12/01/2010 01:10:23,N,SC2SES_UNIT1,21.97
12/01/2010 01:10:23,N,SCLP_PUN1,21.67
12/01/2010 01:10:23,N,SCLP_PUN2,21.67
12/01/2010 01:10:23,N,SCLP_PUN3,21.67
12/01/2010 01:10:23,N,SCLP_PUN4,21.67
12/01/2010 01:10:23,N,SCLP_SCLPC_1,21.67
12/01/2010 01:10:23,N,SCLP_SCLPC_2,21.67
12/01/2010 01:10:23,N,SCLP_SCLPC_3,21.67
12/01/2010 01:10:23,N,SCLP_SCLPC_4,21.67
12/01/2010 01:10:23,N,SCSES_UNIT2,21.64
12/01/2010 01:10:23,N,SD5SES_5,21.67
12/01/2010 01:10:23,N,SDSES_PUN1,21.67
12/01/2010 01:10:23,N,SDSES_PUN2,21.67
12/01/2010 01:10:23,N,SDSES_PUN3,21.67
12/01/2010 01:10:23,N,SDSES_PUN4,21.67
